"Pop"	"Treat"	"Pop_Treat"	"Tube"	"ID"	"Age"	"Density"	"Pupate"	"Cohort"	"ID_Cohort"
"172"	"Akaa"	"T37"	"Akaa_T37"	"A14"	"A14_T37"	9	12	1	1	"A14_T37_1"
"173"	"Akaa"	"T37"	"Akaa_T37"	"A14"	"A14_T37"	9	12	1	1	"A14_T37_1"
"174"	"Akaa"	"T37"	"Akaa_T37"	"A14"	"A14_T37"	9	12	1	1	"A14_T37_1"
"175"	"Akaa"	"T37"	"Akaa_T37"	"A14"	"A14_T37"	9	12	1	1	"A14_T37_1"
"176"	"Akaa"	"T37"	"Akaa_T37"	"A14"	"A14_T37"	9	12	1	1	"A14_T37_1"
"177"	"Akaa"	"T37"	"Akaa_T37"	"A14"	"A14_T37"	9	12	1	1	"A14_T37_1"
"178"	"Akaa"	"T37"	"Akaa_T37"	"A14"	"A14_T37"	9	12	1	1	"A14_T37_1"
"179"	"Akaa"	"T37"	"Akaa_T37"	"A14"	"A14_T37"	10	12	1	1	"A14_T37_1"
"180"	"Akaa"	"T37"	"Akaa_T37"	"A14"	"A14_T37"	10	12	1	1	"A14_T37_1"
"181"	"Akaa"	"T37"	"Akaa_T37"	"A14"	"A14_T37"	11	12	1	1	"A14_T37_1"
"182"	"Akaa"	"T37"	"Akaa_T37"	"A14"	"A14_T37"	11	12	1	1	"A14_T37_1"
"183"	"Akaa"	"T37"	"Akaa_T37"	"A14"	"A14_T37"	13	12	1	1	"A14_T37_1"
"184"	"Akaa"	"T37"	"Akaa_T37"	"A15"	"A15_T37"	10	2	1	1	"A15_T37_1"
"185"	"Akaa"	"T37"	"Akaa_T37"	"A15"	"A15_T37"	12	2	1	1	"A15_T37_1"
"186"	"Akaa"	"T37"	"Akaa_T37"	"A16"	"A16_T37"	8	7	1	1	"A16_T37_1"
"187"	"Akaa"	"T37"	"Akaa_T37"	"A16"	"A16_T37"	8	7	1	1	"A16_T37_1"
"188"	"Akaa"	"T37"	"Akaa_T37"	"A16"	"A16_T37"	8	7	1	1	"A16_T37_1"
"189"	"Akaa"	"T37"	"Akaa_T37"	"A16"	"A16_T37"	9	7	1	1	"A16_T37_1"
"190"	"Akaa"	"T37"	"Akaa_T37"	"A16"	"A16_T37"	10	7	1	1	"A16_T37_1"
"191"	"Akaa"	"T37"	"Akaa_T37"	"A16"	"A16_T37"	10	7	1	1	"A16_T37_1"
"192"	"Akaa"	"T37"	"Akaa_T37"	"A16"	"A16_T37"	11	7	1	1	"A16_T37_1"
"193"	"Akaa"	"T37"	"Akaa_T37"	"A17"	"A17_T37"	11	1	1	1	"A17_T37_1"
"194"	"Akaa"	"T37"	"Akaa_T37"	"A18"	"A18_T37"	10	3	1	1	"A18_T37_1"
"195"	"Akaa"	"T37"	"Akaa_T37"	"A18"	"A18_T37"	10	3	1	1	"A18_T37_1"
"196"	"Akaa"	"T37"	"Akaa_T37"	"A18"	"A18_T37"	11	3	1	1	"A18_T37_1"
"197"	"Akaa"	"T37"	"Akaa_T37"	"A19"	"A19_T37"	10	1	1	1	"A19_T37_1"
"198"	"Akaa"	"T37"	"Akaa_T37"	"A21"	"A21_T37"	9	1	1	1	"A21_T37_1"
"199"	"Akaa"	"T37"	"Akaa_T37"	"A23"	"A23_T37"	9	1	1	1	"A23_T37_1"
"200"	"Akaa"	"T37"	"Akaa_T37"	"A25"	"A25_T37"	9	1	1	1	"A25_T37_1"
"201"	"Manz"	"Ctrl"	"Manz_Ctrl"	"M1"	"M1_Ctrl"	9	3	1	1	"M1_Ctrl_1"
"202"	"Manz"	"Ctrl"	"Manz_Ctrl"	"M1"	"M1_Ctrl"	10	3	1	1	"M1_Ctrl_1"
"203"	"Manz"	"Ctrl"	"Manz_Ctrl"	"M1"	"M1_Ctrl"	11	3	1	1	"M1_Ctrl_1"
"204"	"Manz"	"Ctrl"	"Manz_Ctrl"	"M2"	"M2_Ctrl"	9	5	1	1	"M2_Ctrl_1"
"205"	"Manz"	"Ctrl"	"Manz_Ctrl"	"M2"	"M2_Ctrl"	11	5	1	1	"M2_Ctrl_1"
"206"	"Manz"	"Ctrl"	"Manz_Ctrl"	"M2"	"M2_Ctrl"	11	5	1	1	"M2_Ctrl_1"
"207"	"Manz"	"Ctrl"	"Manz_Ctrl"	"M2"	"M2_Ctrl"	12	5	1	1	"M2_Ctrl_1"
