Pop	Treat	Pop_Treat	Tube	ID	Day	eggs	pupa	imag	EMiscount
Manz	T37	Manz_T37	M5	M5_T37	5_6	36	0	0	0
Manz	T37	Manz_T37	M6	M6_T37	5_6	13	0	0	0
Manz	T37	Manz_T37	M7	M7_T37	5_6	33	6	4	0
Manz	T37	Manz_T37	M8	M8_T37	5_6	16	2	2	0
Manz	T37	Manz_T37	M9	M9_T37	5_6	29	5	5	0
Manz	T37	Manz_T37	M10	M10_T37	5_6	24	8	7	0
Manz	T37	Manz_T37	M11	M11_T37	5_6	39	12	11	0
Manz	T37	Manz_T37	M12	M12_T37	5_6	25	9	7	0
Manz	T37	Manz_T37	M13	M13_T37	5_6	25	1	0	0
Manz	T37	Manz_T37	M14	M14_T37	5_6	38	8	7	0
Manz	T37	Manz_T37	M15	M15_T37	5_6	36	3	3	0
Manz	T37	Manz_T37	M16	M16_T37	5_6	26	22	11	0
Manz	T37	Manz_T37	M17	M17_T37	5_6	26	12	5	0
Manz	T37	Manz_T37	M18	M18_T37	5_6	40	35	25	0
Akaa	Ctrl	Akaa_Ctrl	A1	A1_Ctrl	13_14	28	16	15	0
Akaa	Ctrl	Akaa_Ctrl	A2	A2_Ctrl	13_14	28	8	8	0
Akaa	Ctrl	Akaa_Ctrl	A3	A3_Ctrl	13_14	11	11	9	1
Akaa	Ctrl	Akaa_Ctrl	A4	A4_Ctrl	13_14	50	38	33	0
Akaa	Ctrl	Akaa_Ctrl	A5	A5_Ctrl	13_14	0	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A6	A6_Ctrl	13_14	0	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A7	A7_Ctrl	13_14	62	29	27	0
Akaa	Ctrl	Akaa_Ctrl	A8	A8_Ctrl	13_14	51	18	14	0
Akaa	Ctrl	Akaa_Ctrl	A9	A9_Ctrl	13_14	37	37	33	9
Akaa	Ctrl	Akaa_Ctrl	A10	A10_Ctrl	13_14	45	43	42	0
Akaa	Ctrl	Akaa_Ctrl	A11	A11_Ctrl	13_14	0	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A12	A12_Ctrl	13_14	50	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A13	A13_Ctrl	13_14	38	22	16	0
Akaa	Ctrl	Akaa_Ctrl	A14	A14_Ctrl	13_14	27	17	14	0
