target_id	length	eff_length	est_counts	tpm
FBtr0345318	1592	1388.16	364.603	8.6622
FBtr0070494	1667	1463.16	57.6244	1.29886
FBtr0332496	1083	879.158	27.3756	1.02694
FBtr0070495	3837	3633.16	3016.95	27.3862
FBtr0070496	3780	3576.16	94.1068	0.867863
FBtr0070498	2425	2221.16	1848	27.4391
FBtr0070499	1952	1748.16	1344	25.3551
FBtr0273279	1181	977.158	5	0.168753
FBtr0070501	2013	1809.16	1324.01	24.1359
FBtr0273276	2110	1906.16	25.3662	0.438878
FBtr0345710	2120	1916.16	268.62	4.62333
FBtr0070502	3029	2825.16	2322.93	27.1169
FBtr0345716	3360	3156.16	19.0704	0.199273
FBtr0070504	1013	809.158	2	0.0815162
FBtr0070505	946	742.158	0	0
FBtr0070506	1428	1224.16	0	0
FBtr0070507	10150	9946.16	2742.31	9.09303
FBtr0304659	9611	9407.16	117.291	0.411199
FBtr0070508	931	727.158	23.7117	1.07543
FBtr0343600	747	543.158	1452.29	88.1808
FBtr0070517	2841	2637.16	41.731	0.521878
FBtr0070518	2386	2182.16	288.941	4.36686
FBtr0070519	11128	10924.2	193.879	0.585314
FBtr0070520	2604	2400.16	476.58	6.54852
FBtr0070521	2435	2231.16	0	0
FBtr0070522	2167	1963.16	100.167	1.68275
FBtr0070509	4093	3889.16	45.2558	0.383765
FBtr0070511	3834	3630.16	0	0
FBtr0070512	3792	3588.16	0	0
FBtr0070513	3831	3627.16	0	0
FBtr0070515	3828	3624.16	18.8478	0.171514
FBtr0333312	10159	9955.16	2.7699	0.00917621
FBtr0333313	8328	8124.16	1261.34	5.12035
FBtr0333314	7521	7317.16	136.726	0.616247
FBtr0333315	9576	9372.16	0	0
FBtr0333316	8691	8487.16	52.7669	0.205044
FBtr0333317	9456	9252.16	0	0
FBtr0070523	523	321.284	0	0
FBtr0346736	952	748.158	0	0
FBtr0070526	1758	1554.16	0	0
FBtr0331606	1665	1461.16	0	0
FBtr0070527	2416	2212.16	22.8667	0.340906
FBtr0070528	2653	2449.16	242.17	3.261
FBtr0070529	2348	2144.16	1.21913e-06	1.87516e-08
FBtr0070530	1509	1305.16	0	0
FBtr0310466	1518	1314.16	0	0
FBtr0070531	1155	951.158	1	0.0346733
FBtr0070532	835	631.158	0	0
FBtr0332305	815	611.158	0	0
FBtr0070534	1392	1188.16	0	0
FBtr0344078	5934	5730.16	1.06486	0.0061288
FBtr0332302	1824	1620.16	0	0
FBtr0332303	1603	1399.16	1	0.0235711
FBtr0332304	1643	1439.16	0	0
FBtr0070536	1659	1455.16	3	0.0679921
FBtr0070537	690	486.416	0	0
FBtr0070538	267	95.527	0	0
FBtr0070539	594	390.928	0	0
FBtr0070540	546	343.616	0	0
FBtr0070541	557	354.407	0	0
FBtr0070542	963	759.158	1477	64.1646
FBtr0070543	630	426.64	579.608	44.8043
FBtr0345708	816	612.158	92.3922	4.97759
FBtr0070546	1084	880.158	0	0
FBtr0113325	860	656.158	0	0
FBtr0070550	2687	2483.16	4	0.0531255
FBtr0070551	840	636.158	0	0
FBtr0070552	1047	843.158	0	0
FBtr0070553	1570	1366.16	0	0
FBtr0070554	850	646.158	0	0
FBtr0070555	1048	844.158	0	0
